name,mark,quotye

"肖申克的救赎, / The Shawshank Redemption",9.6,希望让人自由。

"这个杀手不太冷, / Léon",9.4,怪蜀黍和小萝莉不得不说的故事。

霸王别姬,9.5,风华绝代。

"阿甘正传, / Forrest Gump",9.4,一部美国近现代史。

"美丽人生, / La vita è bella",9.5,最美的谎言。

"千与千寻, / 千と千尋の神隠し",9.2,最好的宫崎骏，最好的久石让。 

"辛德勒的名单, / Schindler's List",9.4,拯救一个人，就是拯救整个世界。

"泰坦尼克号, / Titanic",9.2,失去的才是永恒的。 

"盗梦空间, / Inception",9.2,诺兰给了我们一场无法盗取的梦。

"机器人总动员, / WALL·E",9.3,小瓦力，大人生。

"海上钢琴师, / La leggenda del pianista sull'oceano",9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 

"三傻大闹宝莱坞, / 3 Idiots",9.1,英俊版憨豆，高情商版谢耳朵。

"忠犬八公的故事, / Hachi: A Dog's Tale",9.2,永远都不能忘记你所爱的人。

"放牛班的春天, / Les choristes",9.2,天籁一般的童声，是最接近上帝的存在。 

"大话西游之大圣娶亲, / 西遊記大結局之仙履奇緣",9.1,一生所爱。

"教父, / The Godfather",9.2,千万不要记恨你的对手，这样会让你失去理智。

"龙猫, / となりのトトロ",9.1,人人心中都有个龙猫，童年就永远不会消失。

"乱世佳人, / Gone with the Wind",9.2,Tomorrow is another day.

"楚门的世界, / The Truman Show",9.0,如果再也不能见到你，祝你早安，午安，晚安。

"天堂电影院, / Nuovo Cinema Paradiso",9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。

"当幸福来敲门, / The Pursuit of Happyness",8.9,平民励志片。 

"触不可及, / Intouchables",9.1,满满温情的高雅喜剧。

"搏击俱乐部, / Fight Club",9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。

"十二怒汉, / 12 Angry Men",9.3,1957年的理想主义。 

"指环王3：王者无敌, / The Lord of the Rings: The Return of the King",9.1,史诗的终章。

